label,ux0sommet0,uy0sommet0,ux0sommet1,uy0sommet1,ux0sommet2,uy0sommet2,ux0sommet3,uy0sommet3,ux5sommet0,uy5sommet0,ux5sommet1,uy5sommet1,ux5sommet2,uy5sommet2,ux5sommet3,uy5sommet3,ux9sommet0,uy9sommet0,ux9sommet1,uy9sommet1,ux9sommet2,uy9sommet2,ux9sommet3,uy9sommet3,ux13sommet0,uy13sommet0,ux13sommet1,uy13sommet1,ux13sommet2,uy13sommet2,ux13sommet3,uy13sommet3,ux17sommet0,uy17sommet0,ux17sommet1,uy17sommet1,ux17sommet2,uy17sommet2,ux17sommet3
1,-131.69050115346909,-145.20163267850876,-273.6905011534691,-145.20163267850876,-273.6905011534691,-287.20163267850876,-131.69050115346909,-287.20163267850876,-132.00350596313365,-145.78590777516365,-274.00350596313365,-145.78590777516365,-274.00350596313365,-287.78590777516365,-132.00350596313365,-287.78590777516365,-131.77042697370052,-145.3628487586975,-273.7704269737005,-145.3628487586975,-273.7704269737005,-287.3628487586975,-131.77042697370052,-287.3628487586975,-131.41439658403397,-146.0849720016122,-273.41439658403397,-146.0849720016122,-273.41439658403397,-288.0849720016122,-131.41439658403397,-288.0849720016122,-132.10530825704336,-145.6209658384323,-274.10530825704336,-145.6209658384323,-274.10530825704336,-287.6209658384323,-132.10530825704336,-287.6209658384323
1,-122.7090051472187,-140.12762665748596,-271.7090051472187,-140.12762665748596,-271.7090051472187,-289.12762665748596,-122.7090051472187,-289.12762665748596,-122.92777721583843,-140.72302624583244,-271.92777721583843,-140.72302624583244,-271.92777721583843,-289.72302624583244,-122.92777721583843,-289.72302624583244,-122.68476098775864,-140.26082599163055,-271.68476098775864,-140.26082599163055,-271.68476098775864,-289.26082599163055,-122.68476098775864,-289.26082599163055,-122.26143455505371,-140.82093751430511,-271.2614345550537,-140.82093751430511,-271.2614345550537,-289.8209375143051,-122.26143455505371,-289.8209375143051,-123.02538488060236,-140.58254218101501,-272.02538488060236,-140.58254218101501,-272.02538488060236,-289.582542181015,-123.02538488060236,-289.582542181015
1,-127.67330145835876,-163.11737275123596,-269.67330145835876,-163.11737275123596,-269.67330145835876,-305.11737275123596,-127.67330145835876,-305.11737275123596,-127.95905160531402,-163.72333127260208,-269.959051605314,-163.72333127260208,-269.959051605314,-305.7233312726021,-127.95905160531402,-305.7233312726021,-127.68601536750793,-163.23768883943558,-269.68601536750793,-163.23768883943558,-269.68601536750793,-305.2376888394356,-127.68601536750793,-305.2376888394356,-127.2451663017273,-163.8938685953617,-269.2451663017273,-163.8938685953617,-269.2451663017273,-305.8938685953617,-127.2451663017273,-305.8938685953617,-128.01907897740602,-163.587505787611,-270.019078977406,-163.587505787611,-270.019078977406,-305.587505787611,-128.01907897740602,-305.587505787611
1,-117.62616467475891,-145.16557329893112,-261.6261646747589,-145.16557329893112,-261.6261646747589,-289.1655732989311,-117.62616467475891,-289.1655732989311,-117.9636087231338,-145.69678151607513,-261.9636087231338,-145.69678151607513,-261.9636087231338,-289.69678151607513,-117.9636087231338,-289.69678151607513,-117.68001052737236,-145.32673752307892,-261.68001052737236,-145.32673752307892,-261.68001052737236,-289.3267375230789,-117.68001052737236,-289.3267375230789,-117.3670135140419,-145.93748375028372,-261.3670135140419,-145.93748375028372,-261.3670135140419,-289.9374837502837,-117.3670135140419,-289.9374837502837,-118.00228952406906,-145.53367745876312,-262.00228952406906,-145.53367745876312,-262.00228952406906,-289.5336774587631,-118.00228952406906,-289.5336774587631
1,-134.66879710555077,-133.16293758153915,-302.66879710555077,-133.16293758153915,-302.66879710555077,-301.16293758153915,-134.66879710555077,-301.16293758153915,-134.9647265970707,-133.70247727632523,-302.9647265970707,-133.70247727632523,-302.9647265970707,-301.7024772763252,-134.9647265970707,-301.7024772763252,-134.66262936592102,-133.25521755218506,-302.662629365921,-133.25521755218506,-302.662629365921,-301.25521755218506,-134.66262936592102,-301.25521755218506,-134.26721894741058,-133.93525505065918,-302.2672189474106,-133.93525505065918,-302.2672189474106,-301.9352550506592,-134.26721894741058,-301.9352550506592,-135.03735196217895,-133.61047479510307,-303.03735196217895,-133.61047479510307,-303.03735196217895,-301.6104747951031,-135.03735196217895,-301.6104747951031
1,-125.63211691379547,-183.1065788269043,-264.63211691379547,-183.1065788269043,-264.63211691379547,-322.1065788269043,-125.63211691379547,-322.1065788269043,-126.0254192315042,-183.68187195062637,-265.0254192315042,-183.68187195062637,-265.0254192315042,-322.6818719506264,-126.0254192315042,-322.6818719506264,-125.65886837244034,-183.26172453165054,-264.65886837244034,-183.26172453165054,-264.65886837244034,-322.26172453165054,-125.65886837244034,-322.26172453165054,-125.27394044399261,-183.97522841766477,-264.2739404439926,-183.97522841766477,-264.2739404439926,-322.97522841766477,-125.27394044399261,-322.97522841766477,-126.08881966024637,-183.5671072602272,-265.0888196602464,-183.5671072602272,-265.0888196602464,-322.5671072602272,-126.08881966024637,-322.5671072602272
1,-128.62351673841476,-192.04361933469772,-276.62351673841476,-192.04361933469772,-276.62351673841476,-340.0436193346977,-128.62351673841476,-340.0436193346977,-128.9868687586859,-192.7187444269657,-276.9868687586859,-192.7187444269657,-276.9868687586859,-340.7187444269657,-128.9868687586859,-340.7187444269657,-128.71272993087769,-192.19089126586914,-276.7127299308777,-192.19089126586914,-276.7127299308777,-340.19089126586914,-128.71272993087769,-340.19089126586914,-128.23359960317612,-193.02239521965384,-276.2335996031761,-193.02239521965384,-276.2335996031761,-341.02239521965384,-128.23359960317612,-341.02239521965384,-129.03331511095166,-192.5649644434452,-277.03331511095166,-192.5649644434452,-277.03331511095166,-340.5649644434452,-129.03331511095166,-340.5649644434452
1,-164.28225076198578,-30.171893000602722,-256.2822507619858,-30.171893000602722,-256.2822507619858,-122.17189300060272,-164.28225076198578,-122.17189300060272,-164.9747791737318,-30.24642151594162,-256.9747791737318,-30.24642151594162,-256.9747791737318,-122.24642151594162,-164.9747791737318,-122.24642151594162,-164.24088490009308,-30.375720262527466,-256.2408849000931,-30.375720262527466,-256.2408849000931,-122.37572026252747,-164.24088490009308,-122.37572026252747,-164.41350185871124,-30.945748023688793,-256.41350185871124,-30.945748023688793,-256.41350185871124,-122.9457480236888,-164.41350185871124,-122.9457480236888,-165.0039077294059,-30.32262670993805,-257.0039077294059,-30.32262670993805,-257.0039077294059,-122.32262670993805,-165.0039077294059,-122.32262670993805
1,-169.31177818775177,-33.11903178691864,-253.31177818775177,-33.11903178691864,-253.31177818775177,-117.11903178691864,-169.31177818775177,-117.11903178691864,-169.95985982194543,-33.30200332403183,-253.95985982194543,-33.30200332403183,-253.95985982194543,-117.30200332403183,-169.95985982194543,-117.30200332403183,-169.32042902708054,-33.2844580411911,-253.32042902708054,-33.2844580411911,-253.32042902708054,-117.2844580411911,-169.32042902708054,-117.2844580411911,-169.30098778009415,-33.965234737843275,-253.30098778009415,-33.965234737843275,-253.30098778009415,-117.96523473784328,-169.30098778009415,-117.96523473784328,-170.0339914523065,-33.32867056131363,-254.0339914523065,-33.32867056131363,-254.0339914523065,-117.32867056131363,-170.0339914523065,-117.32867056131363
1,-166.27071350812912,-34.11981439590454,-256.2707135081291,-34.11981439590454,-256.2707135081291,-124.11981439590454,-166.27071350812912,-124.11981439590454,-166.96588718518615,-34.26086837053299,-256.96588718518615,-34.26086837053299,-256.96588718518615,-124.26086837053299,-166.96588718518615,-124.26086837053299,-166.28306210041046,-34.29350012540817,-256.28306210041046,-34.29350012540817,-256.28306210041046,-124.29350012540817,-166.28306210041046,-124.29350012540817,-166.3053356409073,-34.97410139627755,-256.3053356409073,-34.97410139627755,-256.3053356409073,-124.97410139627755,-166.3053356409073,-124.97410139627755,-167.03691079467535,-34.28867256641388,-257.03691079467535,-34.28867256641388,-257.03691079467535,-124.28867256641388,-167.03691079467535,-124.28867256641388
